id	family	kind	rel_path	route	target	mode	status	reason	source_patch	effective_patch
2	Staging	tkg-patches	Staging/0002-winelib-Append-Staging-at-the-end-of-the-version-s.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: configure.ac: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/Staging/0002-winelib-Append-Staging-at-the-end-of-the-version-s.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/Staging/0002-winelib-Append-Staging-at-the-end-of-the-version-s.patch
3	advapi32-Token_Integrity_Level	tkg-patches	advapi32-Token_Integrity_Level/0001-advapi32-tests-Extend-security-label-token-integrity.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/advapi32/tests/security.c: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/advapi32-Token_Integrity_Level/0001-advapi32-tests-Extend-security-label-token-integrity.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/advapi32-Token_Integrity_Level/0001-advapi32-tests-Extend-security-label-token-integrity.patch
4	advapi32-Token_Integrity_Level	tkg-patches	advapi32-Token_Integrity_Level/0004-server-Implement-token-integrity-level.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: server/token.c: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/advapi32-Token_Integrity_Level/0004-server-Implement-token-integrity-level.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/advapi32-Token_Integrity_Level/0004-server-Implement-token-integrity-level.patch
41	dbghelp-Debug_Symbols	tkg-patches	dbghelp-Debug_Symbols/0001-dbghelp-Always-check-for-debug-symbols-in-BINDIR.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/dbghelp/Makefile.in: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dbghelp-Debug_Symbols/0001-dbghelp-Always-check-for-debug-symbols-in-BINDIR.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dbghelp-Debug_Symbols/0001-dbghelp-Always-check-for-debug-symbols-in-BINDIR.patch
45	dinput-joy-mappings	tkg-patches	dinput-joy-mappings/0001-dinput-Allow-empty-Joystick-mappings.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/dinput/tests/device8.c: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dinput-joy-mappings/0001-dinput-Allow-empty-Joystick-mappings.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dinput-joy-mappings/0001-dinput-Allow-empty-Joystick-mappings.patch
46	dinput-joy-mappings	tkg-patches	dinput-joy-mappings/0002-dinput-Support-username-in-Config-dialog.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/dinput/dinput_private.h: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dinput-joy-mappings/0002-dinput-Support-username-in-Config-dialog.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dinput-joy-mappings/0002-dinput-Support-username-in-Config-dialog.patch
47	dinput-joy-mappings	tkg-patches	dinput-joy-mappings/0003-dinput-Dont-allow-Fixed-actions-to-be-changed.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/dinput/config.c: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dinput-joy-mappings/0003-dinput-Dont-allow-Fixed-actions-to-be-changed.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dinput-joy-mappings/0003-dinput-Dont-allow-Fixed-actions-to-be-changed.patch
76	dsound-Fast_Mixer	tkg-patches	dsound-Fast_Mixer/0001-dsound-Add-a-linear-resampler-for-use-with-a-large-n.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/dsound/mixer.c: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dsound-Fast_Mixer/0001-dsound-Add-a-linear-resampler-for-use-with-a-large-n.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dsound-Fast_Mixer/0001-dsound-Add-a-linear-resampler-for-use-with-a-large-n.patch
291	mfplat-streaming-support	tkg-patches	mfplat-streaming-support/0025-winegstreamer-Report-streams-backwards-in-media-sour.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/winegstreamer/media_source.c: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/mfplat-streaming-support/0025-winegstreamer-Report-streams-backwards-in-media-sour.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/mfplat-streaming-support/0025-winegstreamer-Report-streams-backwards-in-media-sour.patch
292	mfplat-streaming-support	tkg-patches	mfplat-streaming-support/0038-winegstreamer-In-the-default-configuration-select-on.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/winegstreamer/media_source.c: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/mfplat-streaming-support/0038-winegstreamer-In-the-default-configuration-select-on.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/mfplat-streaming-support/0038-winegstreamer-In-the-default-configuration-select-on.patch
