id	family	kind	rel_path	stage	risk	overlap_count	route	source_patch	effective_patch	override_used
2	Staging	tkg-patches	Staging/0002-winelib-Append-Staging-at-the-end-of-the-version-s.patch	0	medium	1	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/Staging/0002-winelib-Append-Staging-at-the-end-of-the-version-s.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/Staging/0002-winelib-Append-Staging-at-the-end-of-the-version-s.patch	no
3	advapi32-Token_Integrity_Level	tkg-patches	advapi32-Token_Integrity_Level/0001-advapi32-tests-Extend-security-label-token-integrity.patch	3	medium	1	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/advapi32-Token_Integrity_Level/0001-advapi32-tests-Extend-security-label-token-integrity.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/advapi32-Token_Integrity_Level/0001-advapi32-tests-Extend-security-label-token-integrity.patch	no
4	advapi32-Token_Integrity_Level	tkg-patches	advapi32-Token_Integrity_Level/0004-server-Implement-token-integrity-level.patch	1	high	3	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/advapi32-Token_Integrity_Level/0004-server-Implement-token-integrity-level.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/advapi32-Token_Integrity_Level/0004-server-Implement-token-integrity-level.patch	no
32	d3dx9-setrawvalue	tkg-patches	d3dx9-setrawvalue/0001-d3dx9-Add-support-for-setting-vec-2-3-effect-paramet.patch	2	medium	2	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/d3dx9-setrawvalue/0001-d3dx9-Add-support-for-setting-vec-2-3-effect-paramet.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/d3dx9-setrawvalue/0001-d3dx9-Add-support-for-setting-vec-2-3-effect-paramet.patch	no
33	d3dx9-setrawvalue	tkg-patches	d3dx9-setrawvalue/0002-d3dx9-Add-partial-support-for-setting-D3DXPC_STRUCT-.patch	2	medium	1	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/d3dx9-setrawvalue/0002-d3dx9-Add-partial-support-for-setting-D3DXPC_STRUCT-.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/d3dx9-setrawvalue/0002-d3dx9-Add-partial-support-for-setting-D3DXPC_STRUCT-.patch	no
35	d3dx9_36-D3DXStubs	tkg-patches	d3dx9_36-D3DXStubs/0003-d3dx9-Implement-D3DXComputeTangent.patch	2	medium	21	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/d3dx9_36-D3DXStubs/0003-d3dx9-Implement-D3DXComputeTangent.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/d3dx9_36-D3DXStubs/0003-d3dx9-Implement-D3DXComputeTangent.patch	no
41	dbghelp-Debug_Symbols	tkg-patches	dbghelp-Debug_Symbols/0001-dbghelp-Always-check-for-debug-symbols-in-BINDIR.patch	3	medium	1	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dbghelp-Debug_Symbols/0001-dbghelp-Always-check-for-debug-symbols-in-BINDIR.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dbghelp-Debug_Symbols/0001-dbghelp-Always-check-for-debug-symbols-in-BINDIR.patch	no
45	dinput-joy-mappings	tkg-patches	dinput-joy-mappings/0001-dinput-Allow-empty-Joystick-mappings.patch	3	medium	2	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dinput-joy-mappings/0001-dinput-Allow-empty-Joystick-mappings.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dinput-joy-mappings/0001-dinput-Allow-empty-Joystick-mappings.patch	no
46	dinput-joy-mappings	tkg-patches	dinput-joy-mappings/0002-dinput-Support-username-in-Config-dialog.patch	3	medium	3	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dinput-joy-mappings/0002-dinput-Support-username-in-Config-dialog.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dinput-joy-mappings/0002-dinput-Support-username-in-Config-dialog.patch	no
47	dinput-joy-mappings	tkg-patches	dinput-joy-mappings/0003-dinput-Dont-allow-Fixed-actions-to-be-changed.patch	3	medium	1	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dinput-joy-mappings/0003-dinput-Dont-allow-Fixed-actions-to-be-changed.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dinput-joy-mappings/0003-dinput-Dont-allow-Fixed-actions-to-be-changed.patch	no
